260
0: [[77, 124, 241, 7], [62, 0], [26, 89], [0, 46]]
29: [[209, 175, 124, 1], [0, 96], [68, 64], [25, 8]]
30: [[152, 45, 135, 10], [93, 0], [61, 69], [148, 44]]
31: [[93, 198, 79, 1], [0, 23], [40, 24], [53, 70]]
32: [[238, 155, 16, 7], [99, 83], [58, 24], [26, 20]]
33: [[49, 155, 195, 1], [0, 34], [145, 89], [38, 97]]
34: [[140, 75, 80, 6], [100, 89], [29, 24], [134, 46]]
35: [[228, 64, 86, 7], [50, 74], [27, 42], [127, 43]]
36: [[14, 191, 92, 1], [108, 33], [36, 1], [63, 61]]
37: [[123, 69, 57, 10], [94, 22], [41, 40], [12, 3]]
38: [[48, 189, 21, 1], [128, 0], [147, 48], [27, 10]]
39: [[21, 75, 245, 5], [134, 69], [145, 29], [9, 23]]
40: [[150, 118, 69, 1], [6, 16], [17, 73], [26, 14]]
41: [[23, 7, 143, 1], [60, 11], [88, 81], [55, 79]]
42: [[47, 38, 41, 1], [69, 7], [11, 67], [148, 95]]
43: [[78, 55, 83, 1], [99, 98], [63, 0], [27, 80]]
44: [[47, 27, 105, 8], [38, 40], [115, 74], [133, 0]]
45: [[189, 136, 123, 5], [115, 39], [145, 68], [54, 61]]
46: [[117, 79, 5, 8], [95, 30], [1, 27], [103, 54]]
47: [[38, 126, 59, 1], [140, 0], [57, 44], [1, 42]]
48: [[59, 236, 107, 5], [41, 27], [127, 10], [150, 96]]
49: [[181, 90, 56, 1], [0, 94], [110, 0], [138, 57]]
50: [[146, 151, 110, 9], [26, 7], [104, 8], [24, 45]]
51: [[131, 157, 34, 1], [26, 2], [144, 25], [40, 41]]
52: [[3, 47, 127, 1], [101, 22], [150, 99], [112, 63]]
53: [[247, 30, 34, 8], [0, 20], [72, 65], [89, 20]]
54: [[22, 80, 141, 1], [42, 40], [141, 31], [3, 100]]
55: [[102, 227, 206, 4], [30, 24], [7, 85], [134, 66]]
56: [[218, 20, 104, 1], [11, 84], [85, 19], [136, 72]]
57: [[169, 41, 246, 1], [84, 76], [0, 45], [6, 100]]
58: [[53, 240, 38, 1], [43, 76], [105, 46], [72, 4]]
59: [[33, 236, 235, 1], [77, 54], [0, 61], [13, 23]]
60: [[98, 186, 208, 5], [5, 78], [131, 72], [121, 30]]
61: [[208, 67, 114, 1], [126, 69], [56, 51], [123, 4]]
62: [[57, 13, 136, 1], [2, 78], [113, 17], [51, 90]]
63: [[70, 254, 13, 3], [86, 78], [75, 31], [25, 83]]
64: [[51, 129, 26, 1], [117, 100], [27, 95], [37, 53]]
65: [[92, 53, 26, 1], [1, 80], [81, 100], [99, 76]]
66: [[83, 84, 213, 6], [106, 40], [64, 16], [25, 48]]
67: [[173, 34, 70, 1], [30, 0], [0, 89], [114, 0]]
68: [[39, 167, 216, 1], [121, 100], [2, 92], [33, 31]]
69: [[30, 72, 38, 1], [149, 90], [123, 55], [23, 34]]
70: [[129, 116, 106, 8], [60, 100], [118, 49], [135, 90]]
71: [[4, 56, 3, 3], [63, 51], [139, 53], [147, 83]]
72: [[68, 186, 97, 11], [62, 73], [25, 80], [32, 3]]
73: [[221, 122, 33, 1], [52, 36], [133, 52], [35, 54]]
74: [[16, 13, 43, 1], [111, 42], [43, 30], [19, 0]]
75: [[191, 205, 25, 1], [0, 16], [82, 0], [146, 30]]
76: [[214, 115, 55, 13], [87, 62], [141, 75], [124, 2]]
77: [[248, 0, 147, 1], [113, 14], [91, 53], [144, 95]]
78: [[0, 71, 216, 10], [47, 60], [109, 100], [11, 75]]
79: [[34, 101, 122, 1], [28, 4], [49, 68], [84, 48]]
80: [[188, 71, 9, 1], [3, 72], [103, 10], [80, 53]]
81: [[58, 18, 156, 1], [27, 68], [64, 72], [7, 12]]
82: [[46, 253, 70, 1], [37, 74], [30, 6], [93, 83]]
83: [[197, 24, 90, 1], [142, 10], [91, 55], [121, 86]]
84: [[108, 214, 125, 1], [17, 28], [3, 99], [64, 25]]
85: [[144, 51, 108, 1], [1, 81], [137, 51], [55, 37]]
86: [[134, 104, 255, 1], [29, 12], [5, 66], [120, 78]]
87: [[112, 24, 79, 10], [129, 100], [65, 57], [22, 61]]
88: [[138, 111, 97, 1], [9, 49], [77, 6], [149, 58]]
89: [[8, 194, 8, 5], [5, 66], [73, 65], [122, 29]]
90: [[209, 95, 107, 1], [0, 90], [144, 88], [8, 0]]
91: [[31, 115, 19, 1], [36, 45], [130, 52], [55, 8]]
92: [[138, 23, 89, 1], [123, 9], [61, 100], [33, 21]]
93: [[67, 116, 169, 1], [4, 27], [128, 35], [101, 82]]
94: [[127, 20, 12, 1], [146, 81], [127, 0], [76, 37]]
95: [[82, 79, 228, 1], [51, 65], [137, 7], [11, 10]]
96: [[94, 38, 98, 1], [147, 9], [14, 6], [38, 84]]
97: [[69, 15, 242, 1], [110, 10], [8, 0], [34, 76]]
98: [[69, 4, 4, 1], [1, 7], [146, 1], [143, 99]]
99: [[161, 83, 53, 1], [124, 11], [92, 94], [6, 21]]
100: [[28, 10, 23, 1], [15, 53], [83, 35], [33, 17]]
101: [[9, 117, 12, 9], [66, 90], [14, 35], [18, 94]]
102: [[240, 56, 122, 3], [46, 38], [142, 49], [6, 78]]
103: [[12, 37, 247, 1], [30, 58], [7, 18], [51, 36]]
104: [[149, 62, 5, 1], [137, 93], [34, 6], [39, 82]]
105: [[90, 65, 52, 2], [103, 68], [5, 24], [46, 83]]
106: [[139, 230, 86, 2], [15, 94], [86, 0], [75, 81]]
107: [[4, 63, 89, 9], [68, 68], [34, 76], [143, 98]]
108: [[9, 218, 70, 1], [14, 93], [47, 23], [62, 36]]
109: [[62, 28, 44, 10], [129, 84], [132, 39], [14, 2]]
110: [[182, 105, 118, 1], [131, 99], [38, 95], [89, 30]]
111: [[121, 33, 65, 10], [39, 83], [94, 100], [138, 13]]
112: [[203, 157, 91, 1], [39, 70], [13, 31], [0, 100]]
113: [[165, 101, 81, 1], [28, 91], [97, 89], [13, 18]]
114: [[57, 160, 6, 8], [43, 77], [77, 89], [80, 23]]
115: [[132, 71, 62, 1], [20, 0], [11, 37], [142, 47]]
116: [[152, 95, 232, 1], [111, 89], [0, 71], [146, 12]]
117: [[80, 43, 70, 1], [75, 69], [85, 9], [2, 0]]
118: [[108, 217, 2, 10], [12, 29], [39, 80], [113, 90]]
119: [[90, 155, 50, 9], [149, 17], [37, 33], [123, 44]]
120: [[183, 93, 194, 1], [19, 93], [29, 28], [131, 35]]
121: [[180, 68, 114, 1], [101, 31], [12, 85], [51, 18]]
122: [[57, 4, 57, 1], [0, 11], [127, 28], [149, 81]]
123: [[58, 21, 80, 1], [129, 36], [35, 34], [29, 83]]
124: [[110, 247, 80, 1], [57, 15], [51, 65], [19, 56]]
125: [[71, 38, 234, 1], [6, 48], [47, 32], [104, 79]]
126: [[220, 165, 114, 1], [51, 100], [140, 7], [9, 19]]
127: [[43, 66, 109, 1], [11, 16], [0, 64], [66, 62]]
128: [[67, 192, 116, 6], [61, 30], [102, 92], [145, 11]]
129: [[237, 31, 23, 3], [92, 65], [15, 0], [150, 15]]
130: [[175, 198, 45, 1], [28, 18], [10, 77], [82, 72]]
131: [[75, 4, 20, 1], [89, 90], [87, 49], [2, 8]]
132: [[46, 154, 40, 1], [73, 7], [96, 58], [7, 41]]
133: [[208, 2, 42, 1], [88, 54], [5, 83], [13, 100]]
134: [[119, 113, 133, 1], [150, 60], [21, 48], [102, 20]]
135: [[169, 61, 176, 1], [4, 19], [2, 60], [137, 43]]
136: [[82, 112, 124, 1], [37, 24], [41, 88], [81, 28]]
137: [[158, 182, 14, 1], [124, 63], [150, 12], [0, 33]]
138: [[224, 57, 113, 1], [33, 70], [40, 29], [119, 45]]
139: [[30, 8, 235, 4], [124, 32], [0, 0], [69, 80]]
140: [[64, 10, 110, 1], [114, 29], [12, 73], [13, 85]]
141: [[230, 9, 165, 1], [45, 80], [144, 73], [34, 0]]
142: [[16, 198, 1, 1], [147, 83], [110, 9], [96, 48]]
143: [[91, 126, 188, 1], [149, 71], [106, 39], [148, 8]]
144: [[97, 100, 117, 1], [30, 46], [56, 78], [129, 42]]
145: [[90, 67, 62, 1], [43, 75], [137, 36], [79, 6]]
146: [[52, 237, 162, 1], [49, 0], [123, 20], [135, 91]]
147: [[201, 66, 9, 1], [143, 65], [148, 97], [72, 74]]
148: [[188, 162, 10, 1], [122, 98], [47, 3], [21, 62]]
149: [[159, 118, 72, 7], [97, 95], [71, 27], [49, 78]]
150: [[185, 38, 7, 1], [21, 95], [21, 43], [59, 17]]
151: [[21, 239, 103, 1], [17, 35], [20, 86], [142, 80]]
152: [[100, 48, 17, 1], [99, 63], [122, 25], [149, 32]]
153: [[73, 120, 68, 1], [50, 30], [8, 66], [19, 25]]
154: [[237, 230, 27, 1], [4, 88], [1, 21], [118, 14]]
155: [[74, 41, 196, 1], [27, 30], [71, 56], [9, 62]]
156: [[72, 113, 73, 1], [106, 42], [0, 1], [65, 54]]
157: [[13, 74, 167, 1], [61, 13], [35, 69], [106, 96]]
158: [[90, 10, 149, 1], [122, 82], [127, 0], [111, 3]]
159: [[223, 93, 114, 1], [18, 58], [21, 5], [121, 66]]
160: [[52, 117, 9, 10], [134, 9], [70, 94], [138, 94]]
161: [[251, 39, 62, 1], [98, 75], [148, 42], [114, 23]]
162: [[165, 56, 88, 1], [127, 32], [144, 8], [65, 2]]
163: [[40, 7, 87, 6], [69, 56], [14, 83], [33, 24]]
164: [[73, 95, 33, 1], [11, 33], [9, 19], [88, 66]]
165: [[166, 84, 93, 1], [20, 83], [76, 91], [124, 61]]
166: [[55, 201, 225, 1], [0, 87], [140, 14], [144, 58]]
167: [[24, 71, 169, 1], [44, 94], [130, 19], [149, 65]]
168: [[203, 41, 19, 1], [24, 70], [119, 82], [10, 90]]
169: [[220, 69, 91, 1], [114, 32], [34, 70], [5, 57]]
170: [[166, 39, 126, 1], [137, 86], [26, 81], [52, 7]]
171: [[93, 94, 15, 1], [10, 16], [147, 75], [149, 43]]
172: [[95, 9, 37, 1], [36, 21], [130, 7], [1, 93]]
173: [[20, 63, 55, 1], [46, 61], [98, 3], [11, 41]]
174: [[26, 203, 108, 1], [143, 78], [93, 53], [137, 15]]
175: [[197, 96, 255, 1], [17, 4], [112, 10], [40, 68]]
176: [[24, 32, 27, 1], [95, 0], [39, 6], [50, 75]]
177: [[123, 97, 230, 1], [131, 53], [140, 92], [38, 89]]
178: [[138, 96, 35, 1], [80, 65], [138, 69], [145, 31]]
179: [[126, 105, 149, 1], [25, 32], [66, 92], [150, 18]]
180: [[242, 183, 58, 1], [8, 41], [63, 87], [95, 12]]
181: [[81, 26, 221, 1], [31, 21], [19, 75], [112, 79]]
182: [[110, 59, 224, 1], [35, 37], [88, 66], [21, 75]]
183: [[114, 68, 65, 1], [72, 58], [14, 8], [95, 36]]
184: [[59, 76, 53, 1], [109, 52], [132, 0], [52, 60]]
185: [[102, 237, 159, 1], [55, 6], [13, 32], [36, 86]]
186: [[131, 24, 99, 1], [137, 14], [20, 77], [75, 95]]
187: [[62, 66, 218, 3], [52, 84], [149, 2], [83, 12]]
188: [[81, 142, 106, 1], [103, 10], [130, 75], [97, 80]]
189: [[161, 22, 22, 7], [3, 95], [7, 40], [54, 32]]
190: [[102, 115, 157, 1], [142, 28], [146, 70], [109, 66]]
191: [[76, 30, 205, 1], [119, 58], [150, 48], [12, 10]]
192: [[54, 5, 112, 1], [32, 44], [58, 72], [51, 24]]
193: [[148, 105, 1, 1], [111, 57], [41, 9], [0, 16]]
194: [[52, 10, 102, 1], [13, 98], [36, 38], [105, 13]]
195: [[110, 85, 37, 1], [66, 5], [115, 51], [9, 100]]
196: [[202, 86, 120, 1], [35, 30], [79, 58], [26, 97]]
197: [[103, 102, 58, 1], [75, 31], [19, 94], [31, 50]]
198: [[230, 136, 76, 1], [82, 18], [39, 87], [31, 12]]
199: [[99, 84, 112, 1], [144, 50], [147, 96], [22, 29]]
200: [[102, 34, 79, 1], [27, 99], [38, 21], [83, 3]]
201: [[68, 83, 177, 1], [1, 83], [11, 56], [80, 53]]
202: [[53, 169, 197, 1], [0, 25], [90, 31], [17, 67]]
203: [[110, 46, 58, 1], [12, 77], [66, 54], [79, 74]]
204: [[37, 6, 45, 1], [21, 85], [136, 80], [116, 32]]
205: [[44, 96, 175, 1], [10, 38], [98, 100], [58, 12]]
206: [[130, 68, 123, 1], [49, 36], [104, 21], [18, 99]]
207: [[213, 165, 94, 1], [5, 72], [26, 29], [95, 82]]
208: [[14, 36, 30, 1], [103, 62], [145, 6], [5, 47]]
209: [[149, 57, 59, 1], [128, 85], [133, 60], [7, 78]]
210: [[38, 91, 2, 1], [117, 94], [48, 1], [28, 100]]
211: [[55, 75, 28, 1], [147, 33], [73, 62], [147, 9]]
212: [[39, 15, 190, 9], [116, 8], [6, 5], [25, 96]]
213: [[14, 214, 103, 1], [5, 13], [45, 24], [9, 50]]
214: [[5, 12, 173, 1], [2, 91], [20, 4], [132, 0]]
215: [[12, 187, 54, 1], [143, 42], [32, 29], [19, 71]]
216: [[212, 155, 43, 1], [76, 41], [16, 72], [31, 20]]
217: [[114, 126, 238, 1], [139, 18], [43, 23], [32, 80]]
218: [[125, 68, 155, 1], [146, 14], [39, 51], [3, 0]]
219: [[107, 121, 98, 1], [72, 83], [42, 15], [0, 59]]
220: [[107, 94, 5, 1], [39, 95], [80, 73], [0, 69]]
221: [[220, 181, 27, 1], [133, 19], [43, 27], [128, 82]]
222: [[167, 56, 30, 1], [18, 40], [83, 36], [24, 90]]
223: [[8, 30, 68, 1], [100, 37], [26, 66], [21, 27]]
224: [[244, 109, 90, 1], [50, 91], [149, 9], [15, 86]]
225: [[43, 32, 71, 1], [70, 27], [55, 66], [21, 31]]
226: [[95, 19, 241, 1], [58, 51], [9, 23], [137, 38]]
227: [[254, 249, 127, 1], [39, 90], [142, 100], [55, 0]]
228: [[87, 13, 88, 1], [37, 40], [51, 5], [81, 73]]
229: [[123, 227, 70, 1], [143, 54], [128, 76], [92, 18]]
230: [[131, 26, 253, 1], [21, 66], [84, 63], [34, 7]]
231: [[180, 13, 73, 1], [99, 85], [49, 5], [40, 81]]
232: [[152, 211, 11, 1], [135, 95], [15, 21], [3, 98]]
233: [[136, 38, 165, 1], [144, 44], [12, 81], [144, 7]]
234: [[93, 119, 191, 9], [11, 13], [143, 37], [121, 5]]
235: [[204, 107, 59, 1], [50, 29], [17, 95], [129, 13]]
236: [[107, 48, 252, 1], [128, 64], [64, 1], [25, 43]]
237: [[58, 36, 185, 1], [52, 86], [27, 48], [135, 6]]
238: [[36, 61, 227, 1], [82, 65], [138, 95], [134, 16]]
239: [[40, 178, 48, 1], [145, 44], [6, 27], [53, 80]]
240: [[168, 61, 10, 1], [146, 67], [74, 13], [110, 6]]
241: [[157, 252, 42, 1], [130, 0], [10, 25], [64, 77]]
242: [[38, 157, 104, 1], [47, 10], [23, 66], [107, 10]]
243: [[134, 70, 88, 1], [99, 95], [100, 0], [135, 59]]
244: [[247, 9, 100, 1], [132, 83], [124, 39], [35, 85]]
245: [[151, 185, 23, 1], [26, 29], [95, 51], [25, 87]]
246: [[118, 154, 115, 1], [111, 33], [19, 0], [76, 77]]
247: [[31, 184, 119, 1], [61, 10], [21, 34], [44, 68]]
248: [[193, 38, 101, 1], [17, 48], [72, 92], [138, 0]]
249: [[72, 64, 168, 1], [148, 3], [99, 95], [4, 80]]
250: [[178, 13, 17, 1], [17, 73], [90, 26], [67, 82]]
251: [[81, 53, 42, 1], [82, 31], [131, 92], [143, 33]]
252: [[212, 48, 177, 1], [0, 12], [127, 52], [19, 66]]
253: [[134, 85, 21, 1], [35, 62], [24, 19], [126, 4]]
254: [[173, 69, 215, 1], [43, 88], [12, 20], [133, 3]]
255: [[25, 105, 25, 1], [145, 36], [136, 79], [76, 4]]
256: [[163, 100, 153, 1], [147, 41], [148, 2], [24, 97]]
257: [[50, 8, 30, 1], [15, 14], [45, 71], [53, 45]]
258: [[97, 251, 121, 1], [34, 60], [128, 19], [11, 96]]
259: [[90, 229, 28, 1], [99, 2], [141, 98], [97, 35]]
